1,16.0,477.0,420.3,68.4,160.2,-1,-1,-1,-1
1,15.0,730.3,432.0,62.1,151.2,-1,-1,-1,-1
1,14.0,904.9,477.9,87.7,148.5,-1,-1,-1,-1
1,13.0,459.7,372.1,68.2,180.0,-1,-1,-1,-1
1,12.0,705.1,373.7,50.4,173.9,-1,-1,-1,-1
1,11.0,744.7,463.5,76.5,141.3,-1,-1,-1,-1
1,10.0,310.9,461.7,76.0,176.4,-1,-1,-1,-1
1,9.0,324.0,510.7,102.6,147.6,-1,-1,-1,-1
1,8.0,485.5,451.1,99.9,151.4,-1,-1,-1,-1
1,7.0,424.6,451.3,92.9,150.3,-1,-1,-1,-1
1,6.0,925.2,500.4,86.4,160.2,-1,-1,-1,-1
1,5.0,267.8,511.6,88.2,143.1,-1,-1,-1,-1
1,4.0,859.5,511.2,86.4,141.3,-1,-1,-1,-1
1,3.0,673.6,473.8,91.8,124.2,-1,-1,-1,-1
1,2.0,115.6,420.1,43.0,184.3,-1,-1,-1,-1
1,1.0,1140.3,421.9,59.4,195.1,-1,-1,-1,-1
2,16.0,476.5,418.9,66.6,162.9,-1,-1,-1,-1
2,15.0,730.3,435.4,66.6,146.9,-1,-1,-1,-1
2,14.0,904.9,478.3,87.8,143.1,-1,-1,-1,-1
2,13.0,459.7,372.1,67.7,179.1,-1,-1,-1,-1
2,12.0,705.1,373.7,51.3,177.1,-1,-1,-1,-1
2,11.0,743.8,467.5,76.5,136.8,-1,-1,-1,-1
2,10.0,310.9,460.8,74.7,169.2,-1,-1,-1,-1
2,9.0,324.9,508.9,103.0,149.4,-1,-1,-1,-1
2,8.0,489.1,453.4,96.3,148.7,-1,-1,-1,-1
2,7.0,424.3,450.4,92.7,151.2,-1,-1,-1,-1
2,6.0,926.1,500.8,84.6,159.3,-1,-1,-1,-1
2,5.0,268.0,511.2,87.8,144.0,-1,-1,-1,-1
2,4.0,859.5,511.2,87.3,141.3,-1,-1,-1,-1
2,3.0,673.6,473.4,91.8,125.1,-1,-1,-1,-1
2,2.0,115.4,420.1,43.2,184.3,-1,-1,-1,-1
2,1.0,1140.3,421.9,59.4,195.1,-1,-1,-1,-1
3,16.0,474.7,433.8,72.9,148.5,-1,-1,-1,-1
3,15.0,734.4,440.5,74.7,146.7,-1,-1,-1,-1
3,14.0,904.5,478.8,88.2,147.6,-1,-1,-1,-1
3,13.0,459.9,372.4,65.7,181.1,-1,-1,-1,-1
3,12.0,705.1,373.5,53.1,175.5,-1,-1,-1,-1
3,11.0,743.8,468.4,76.5,135.9,-1,-1,-1,-1
3,10.0,310.7,460.3,74.7,169.2,-1,-1,-1,-1
3,9.0,329.6,508.0,98.6,150.3,-1,-1,-1,-1
3,8.0,490.5,454.7,95.4,147.4,-1,-1,-1,-1
3,7.0,424.8,452.5,93.6,148.7,-1,-1,-1,-1
3,6.0,928.8,501.3,82.8,159.3,-1,-1,-1,-1
3,5.0,268.0,510.7,87.3,144.0,-1,-1,-1,-1
3,4.0,859.5,511.2,91.8,141.3,-1,-1,-1,-1
3,3.0,673.6,473.4,92.7,125.1,-1,-1,-1,-1
3,2.0,115.5,420.1,43.2,184.3,-1,-1,-1,-1
3,1.0,1140.3,421.9,59.4,195.1,-1,-1,-1,-1
4,16.0,476.1,422.5,68.4,160.2,-1,-1,-1,-1
4,15.0,738.0,443.7,71.1,144.0,-1,-1,-1,-1
4,14.0,902.7,478.3,90.0,144.9,-1,-1,-1,-1
4,13.0,459.9,373.0,65.7,177.3,-1,-1,-1,-1
4,12.0,705.1,373.7,52.2,173.5,-1,-1,-1,-1
4,11.0,742.9,471.1,77.4,133.2,-1,-1,-1,-1
4,10.0,310.7,460.3,75.1,162.9,-1,-1,-1,-1
4,9.0,316.6,510.3,111.6,147.6,-1,-1,-1,-1
4,8.0,488.7,455.8,97.2,145.8,-1,-1,-1,-1
4,7.0,424.6,454.0,90.2,147.6,-1,-1,-1,-1
4,6.0,930.6,502.2,81.0,158.4,-1,-1,-1,-1
4,5.0,268.0,511.2,86.9,144.0,-1,-1,-1,-1
4,4.0,859.5,511.2,89.1,141.3,-1,-1,-1,-1
4,3.0,673.6,473.4,92.7,125.1,-1,-1,-1,-1
